Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"paredes, luis . enriquez",1,1,1,1,0,57206722327,1,UCOL-1300,2019,6,5,False,False,1.0,0.0,3.7403822,49.909187
"parra delgado, hortensia",116,13,12,13,0,8897791500,11,UCOL-1301,2014,11,10,True,True,1.0,0.0,10.816053,16.426233
"parra michel, ramon",1,1,1,1,0,56000748200,1,UCOL-1302,2022,3,0,False,False,1.0,0.0,-18.204273,23.334951
"partida palacios, brenda lizet",9,2,1,1,1,57218382100,1,UCOL-1303,2020,5,5,False,False,0.5,0.0,-10.082545,2.4861665
"pastor ramos, roberto carlos",3,1,1,1,0,57221293725,1,UCOL-1304,2021,4,0,False,False,1.0,0.0,-19.381266,43.048733
"pastor, nina",11,3,2,2,1,6604010423,2,UCOL-1305,2019,6,5,False,False,0.6666666666666666,0.0,-2.6276495,14.598139
"paull, robert",7,1,1,1,0,7006970903,1,UCOL-1307,2013,12,10,False,False,1.0,0.0,21.933874,32.14988
"paz garcia, juan",29,5,5,1,4,57200415379,5,UCOL-1308,2018,7,5,False,False,0.2,0.0,-6.7334237,-9.045539
"paz michel, brenda",108,14,13,5,9,23978382100,9,UCOL-1309,2017,8,5,True,True,0.35714285714285715,0.0,-1.8053,-4.8650737
"pech canul, .",7,2,2,1,1,55993766200,2,UCOL-1311,2014,11,10,False,False,0.5,0.0,2.2644832,1.2714589
"pech may, fernando",20,2,2,1,1,35759140900,2,UCOL-1312,2022,3,0,False,False,0.5,0.0,-14.290497,1.563516
"pedraza medina, ricardo",10,4,4,2,2,57226573224,3,UCOL-1313,2021,4,0,False,False,0.5,0.0,-11.421859,0.30423957
"pedraza, juan",300,5,2,3,2,36188735500,2,UCOL-1314,2010,15,15,True,False,0.6,0.0,13.714188,5.866617
"pedro, rincon avalos",61,5,3,3,2,57223015192,4,UCOL-1315,2019,6,5,True,False,0.6,0.0,-2.6652544,12.322699
"pelayo martinez, gloria",5,3,3,3,0,57194106909,3,UCOL-1317,2018,7,5,False,False,1.0,0.0,9.999586,41.924507
"perea ruiz, daniel",1,1,1,1,0,57348971800,1,UCOL-1324,2021,4,0,False,False,1.0,0.0,-20.11368,44.667915
"peregrina lucano, alejandro",14,5,3,3,2,57190382412,3,UCOL-1325,2022,3,0,False,False,0.6,0.0,-7.180237,13.883733
"perez chavez, jesus",14,1,1,1,0,58076357600,1,UCOL-1327,2023,2,0,False,False,1.0,0.0,-38.41045,14.263161
"perez cruz, omar alejandro",9,4,4,1,3,36515459200,4,UCOL-1328,2020,5,5,False,False,0.25,0.0,-8.537242,-7.6470947
"perez diaz, jesus arturo",297,5,5,3,2,14632372000,5,UCOL-1329,2017,8,5,True,False,0.6,0.0,13.684996,10.246947
"perez hernandez, .",23,3,3,1,2,54403561900,3,UCOL-1333,2012,13,10,False,False,0.3333333333333333,0.0,5.4514666,-10.673798
"perez jasso, .",0,1,1,1,0,59483645800,1,UCOL-1334,2024,1,0,False,False,1.0,0.0,-56.093285,25.628107
"perez millan, .",14,1,1,1,0,58209028100,1,UCOL-1336,2023,2,0,False,False,1.0,0.0,-38.41045,14.263161
"perez morales, alfredo",85,13,11,11,2,59173383100,9,UCOL-1337,2015,10,10,True,True,0.8461538461538461,0.0,10.887519,15.803963
"perez tapia, sonia mayra",13,1,1,1,0,57211480221,1,UCOL-1343,2022,3,0,False,False,1.0,0.0,-23.710161,25.438597
"perez,",54,2,2,1,1,55391740100; 57198269509,1,UCOL-1345,2008,17,15,False,False,0.5,0.0,11.126809,-1.3145472
"perez, david",75,6,6,4,2,57189694674,4,UCOL-1346,2016,9,5,True,True,0.6666666666666666,0.0,4.0383143,10.981062
"perez, ismael",98,3,2,3,0,57205315183,2,UCOL-1348,2019,6,5,True,False,1.0,0.0,0.30708623,42.927513
"perez, sergio sandoval",28,7,6,2,5,57195337539,5,UCOL-1349,2020,5,5,False,True,0.2857142857142857,0.0,-7.9106307,-7.233501
"pineda contreras, armando",55,16,11,9,7,8125134000,9,UCOL-1352,2011,14,10,False,True,0.5625,0.0,17.976053,7.3639984
"pineda lemus,",1,1,1,1,0,57193341152,1,UCOL-1353,2017,8,5,False,False,1.0,0.0,17.47179,40.621143
"pineda lucatero, jorge",23,2,2,1,1,57211918013,2,UCOL-1355,2020,5,5,False,False,0.5,0.0,-9.792548,3.2192566
"pinon segundo, elizabeth",214,8,7,4,4,24559122100,7,UCOL-1359,2017,8,5,True,True,0.5,0.0,13.460107,10.736404
"pinto gonzalez, maria",22,5,5,2,3,56143147800,4,UCOL-1360,2014,11,10,False,False,0.4,0.0,3.3385372,-8.236963
"plata florenzano, jorge",28,6,5,4,2,57216486176,5,UCOL-1364,2020,5,5,False,True,0.6666666666666666,0.0,-4.704275,13.662257
"portillo perez, guillermo",8,1,1,1,0,57204522402,1,UCOL-1368,2022,3,0,False,False,1.0,0.0,-22.164602,25.028101
"possani, lourival",220,14,7,11,3,56013752900,8,UCOL-1370,2013,12,10,True,True,0.7857142857142857,0.0,15.157135,13.114009
"prado meza, claudia",23,5,5,0,5,57193959442,5,UCOL-1372,2016,9,5,False,False,0.0,0.0,-5.713553,-29.632763
"puebla perez, .",20,1,1,1,0,6601905643,1,UCOL-1379,2016,9,5,False,False,1.0,0.0,18.571884,36.54074
"quintero hernandez, veronica",131,5,3,2,3,14623216200,4,UCOL-1389,2013,12,10,True,False,0.4,0.0,4.866109,-6.9634767
"radillo ochoa, diego",1,2,2,2,0,57438683500,2,UCOL-1396,2022,3,0,False,False,1.0,0.0,-18.15874,29.061739
"ramirez alcaraz, juan manuel",163,7,6,5,2,55199807000,3,UCOL-1397,2010,15,15,True,True,0.7142857142857143,0.0,12.15522,5.8531723
"ramirez ayala, eduardo",71,6,2,3,3,57205663437,2,UCOL-1399,2018,7,5,True,True,0.5,0.0,-4.6594253,-0.86661583
"ramirez flores, mario",131,20,20,13,7,23467571000,14,UCOL-1401,2009,16,15,True,True,0.65,0.0,18.99893,7.3546944
"ramirez herrera, mario",4,1,1,1,0,6602589425,1,UCOL-1402,2014,11,10,False,False,1.0,0.0,21.119625,33.492226
"ramirez maldonado, luis",0,1,1,1,0,59482045500,1,UCOL-1404,2025,0,0,False,False,1.0,0.0,-57.81163,30.030508
"ramirez noriega, alan",55,11,7,3,8,57188557062,7,UCOL-1407,2016,9,5,False,True,0.2727272727272727,0.0,-1.1422588,-6.464502
"ramirez romero, rafael",19,10,8,5,5,6602910800,8,UCOL-1408,2014,11,10,False,True,0.5,0.0,3.018747,-4.7937393
"ramirez serrano, edgar ivan",3,1,1,1,0,57220058570,1,UCOL-1409,2021,4,0,False,False,1.0,0.0,-19.381123,43.048862
"ramirez vazquez, ariel",34,2,2,2,0,57201361263,2,UCOL-1410,2018,7,5,False,False,1.0,0.0,10.127035,43.552956
"ramirez, carmen alicia sanchez",31,3,2,1,2,57204348290,3,UCOL-1415,2015,10,10,False,False,0.3333333333333333,0.0,-0.10079374,-10.918765
"ramos garcia, oscar",4,1,1,1,0,58039013200,1,UCOL-1426,2022,3,0,False,False,1.0,0.0,-20.259638,23.353148
"ramos rodriguez, omar alejandro",19,2,1,2,0,57210956125,1,UCOL-1429,2020,5,5,False,False,1.0,0.0,-6.2220173,46.90558
"ramos rojas, marco",3,1,1,1,0,58848912100,1,UCOL-1430,2024,1,0,False,False,1.0,0.0,-53.32069,29.298222
"ramos, isidro",0,3,3,2,1,7006766692,3,UCOL-1432,2010,15,15,False,False,0.6666666666666666,0.0,8.216457,4.3377643
"rangel licea,",33,2,2,2,0,57201880083,2,UCOL-1436,2018,7,5,False,False,1.0,0.0,10.155798,43.54801
"rangel sandoval, cinthia",28,2,2,2,0,57196475212,2,UCOL-1438,2017,8,5,False,False,1.0,0.0,15.06569,38.453533
"rangel,",10,1,1,1,0,57194421145,1,UCOL-1439,2017,8,5,False,False,1.0,0.0,17.21641,39.59015
"ransome, nicola",22,3,2,3,0,57206727228,2,UCOL-1441,2023,2,0,False,False,1.0,0.0,-39.727684,18.472576
"razo hernandez, rodrigo said",63,8,7,6,2,55351776000,7,UCOL-1444,2012,13,10,True,True,0.75,0.0,9.942803,8.01487
"regla marquez, carlos fernando",9,2,1,1,1,56912394600,1,UCOL-1446,2020,5,5,False,False,0.5,0.0,-10.082031,2.486407
"renteria, raul",67,2,1,2,0,57205314910,1,UCOL-1447,2019,6,5,True,False,1.0,0.0,0.6088806,44.220207
"rergis, .",31,6,5,1,5,57188585843,4,UCOL-1448,2015,10,10,False,True,0.16666666666666666,0.0,1.3345196,-13.999724
"restano cassulini, rita",17,3,3,3,0,6505933191,3,UCOL-1450,2018,7,5,False,False,1.0,0.0,9.881423,42.092228
"reyes leano, .",8,1,1,1,0,56896057400,1,UCOL-1453,2015,10,10,False,False,1.0,0.0,20.05351,34.976765
"reyes mendez, miriam",51,10,7,8,2,57203573283,5,UCOL-1455,2018,7,5,False,True,0.8,0.0,6.3278213,16.932262
"reyes munoz,",135,7,7,5,2,16305099900,6,UCOL-1456,2010,15,15,True,True,0.7142857142857143,0.0,11.773353,5.8187323
"reyes ramirez, arturo",3,3,3,2,1,8291043300,3,UCOL-1457,2022,3,0,False,False,0.6666666666666666,0.0,-7.040492,14.838956
"reyes, tonatiuh dominguez",0,1,1,1,0,59013862600,1,UCOL-1462,2024,1,0,False,False,1.0,0.0,-55.50161,26.67839
"reyna ortiz, .",66,3,3,2,1,57219524078,3,UCOL-1463,2020,5,5,True,False,0.6666666666666666,0.0,-4.1998973,15.18301
"riano garzon, manuel",10,3,2,1,2,57201665047,2,UCOL-1464,2018,7,5,False,False,0.3333333333333333,0.0,-3.96675,-10.47287
"riberth garcia, gustavo israel",13,1,1,1,0,57415181000,1,UCOL-1465,2022,3,0,False,False,1.0,0.0,-23.710161,25.438597
"rico torres, claudia patricia",15,1,1,1,0,23019798900,1,UCOL-1466,2015,10,10,False,False,1.0,0.0,19.991459,34.95414
"rincon, ian",1,1,1,1,0,58621426600,1,UCOL-1467,2023,2,0,False,False,1.0,0.0,-36.21524,14.732831
"rios bracamontes, eder fernando",21,13,7,3,10,57222312095,6,UCOL-1468,2021,4,0,False,True,0.23076923076923078,0.0,-3.2779362,-6.216679
"rios licea, merab",30,1,1,1,0,36437426200,1,UCOL-1469,2020,5,5,False,False,1.0,0.0,-5.914424,48.745205
"rios toledo, german",20,2,2,1,1,57195495667,2,UCOL-1471,2022,3,0,False,False,0.5,0.0,-14.290497,1.563516
"rivas solis, fernando",4,1,1,1,0,57194082764,1,UCOL-1473,2016,9,5,False,False,1.0,0.0,18.823868,36.69249
"rivera de la parra, ligia",4,1,1,1,0,57189060566,1,UCOL-1475,2020,5,5,False,False,1.0,0.0,-8.455596,49.18843
"rivera rodriguez, maria",17,4,4,3,1,57189215956,4,UCOL-1477,2015,10,10,False,False,0.75,0.0,2.3057308,13.3519125
"rivera vilarelle, maria",92,4,4,1,3,46662010400,3,UCOL-1478,2011,14,10,True,False,0.25,0.0,6.4068894,-12.022219
"robinson, peter",7,2,2,1,1,35565674700,2,UCOL-1481,2020,5,5,False,False,0.5,0.0,-9.526137,2.684472
