Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"lazaro flores, juan",1,1,1,0,1,1,UCOL-0915,2010,15,15,False,False,0.0,2.0,26.900927,-40.369408
"leal, caridad",83,11,8,5,6,4,UCOL-0917,2001,24,20,True,True,0.45454545454545453,2.0,19.737688,-0.4031941
"lee rangel, hector",7,1,1,0,1,1,UCOL-0919,2013,12,10,False,False,0.0,2.0,6.0484333,-39.75396
"legrand,",80,4,4,0,4,2,UCOL-0920,2006,19,15,True,False,0.0,2.0,32.87369,-18.1589
"lemus,",208,29,17,16,13,16,UCOL-0921,2001,24,20,True,True,0.5517241379310345,2.0,30.191021,3.7603662
"lezama cervantes, carlos",56,8,4,4,4,4,UCOL-0929,2006,19,15,False,True,0.5,2.0,18.93024,-2.6736388
"limon, olga lidia valenzuela",0,1,1,0,1,1,UCOL-0933,2010,15,15,False,False,0.0,2.0,27.290527,-40.38005
"llana, abel gomez",0,1,1,0,1,1,UCOL-0943,2012,13,10,False,False,0.0,2.0,13.23863,-41.773838
"lopez ascencio, raul",51,4,4,0,4,4,UCOL-0946,2005,20,20,False,False,0.0,2.0,33.293346,-16.673521
"lopez flores, rodrigo",10,1,1,0,1,1,UCOL-0950,2015,10,10,False,False,0.0,2.0,-1.5300599,-34.992863
"lopez izquierdo, angelica",484,12,11,8,4,4,UCOL-0953,2009,16,15,True,True,0.6666666666666666,2.0,23.588404,7.5607758
"lopez munoz, francisco javier",270,8,4,0,8,3,UCOL-0961,2004,21,20,True,True,0.0,2.0,29.842987,-13.948738
"lopez valdivieso,",87,8,7,3,5,5,UCOL-0970,2008,17,15,True,True,0.375,2.0,13.129587,-8.588986
"lopez, .",2,1,1,0,1,1,UCOL-0973,2008,17,15,False,False,0.0,2.0,40.982365,-27.404324
"lopez, abelardo montesinos",1,3,2,0,3,2,UCOL-0974,2011,14,10,False,False,0.0,2.0,19.60657,-36.587383
"lopez, jorge",11,3,3,1,2,3,UCOL-0978,2004,21,20,False,False,0.3333333333333333,2.0,17.036585,-5.1737475
"loukianov, alexander",34,4,4,0,4,3,UCOL-0981,2004,21,20,False,False,0.0,2.0,33.371975,-15.258773
"lourenco, paulo",380,3,2,2,1,1,UCOL-0982,2005,20,20,True,False,0.6666666666666666,2.0,22.19816,3.7709486
"lugo trampe, angel",111,12,9,5,7,7,UCOL-0988,2007,18,15,True,True,0.4166666666666667,2.0,20.651865,-2.8053083
"lugo, laura sanely gaytan",0,1,1,0,1,1,UCOL-0989,2012,13,10,False,False,0.0,2.0,13.23863,-41.773838
"luhr, .",204,4,2,1,3,2,UCOL-0990,2002,23,20,True,False,0.25,2.0,23.228403,-6.9506917
"luquin de anda,",54,3,3,0,3,2,UCOL-0997,2005,20,20,False,False,0.0,2.0,33.99726,-16.526306
"luquin,",324,10,10,2,8,3,UCOL-0998,2002,23,20,True,True,0.2,2.0,24.398125,-4.467751
"ma, ernest",11,2,1,0,2,1,UCOL-1000,2009,16,15,False,False,0.0,2.0,31.710346,-34.273186
"macedo barragan, rafael",86,10,8,2,8,9,UCOL-1001,2007,18,15,True,True,0.2,2.0,20.218092,-11.583301
"macedo, rafael",108,28,16,3,25,15,UCOL-1003,2004,21,20,True,True,0.10714285714285714,2.0,31.569948,2.3184745
"macias, .",335,10,5,7,3,6,UCOL-1006,2002,23,20,True,True,0.7,2.0,22.22987,2.6632283
"macias, jose",1,2,2,0,2,2,UCOL-1007,2006,19,15,False,False,0.0,2.0,36.46509,-17.944939
"madrigal perez, daniela",59,3,3,0,3,2,UCOL-1011,2015,10,10,True,False,0.0,2.0,0.82748264,-33.32667
"magana alvarez, julio",7,1,1,0,1,1,UCOL-1013,2013,12,10,False,False,0.0,2.0,6.0487857,-39.753643
"magana echeverria, martha alicia",30,6,6,0,6,5,UCOL-1014,2010,15,15,False,True,0.0,2.0,20.359142,-33.387283
"magana espinoza, pedro",131,2,1,0,2,1,UCOL-1015,2014,11,10,True,False,0.0,2.0,6.1234517,-33.3039
"maldonado rodriguez, arcadio",66,3,2,0,3,2,UCOL-1019,2002,23,20,True,False,0.0,2.0,32.68551,-13.503091
